t,T,s,i,o,c,h,l,v,n
1742904000000,1742907599999,HYPE,1h,16.508,16.558,16.656,16.471,162330.69,4812
1742907600000,1742911199999,HYPE,1h,16.558,16.532,16.808,16.404,451662.36,10091
1742911200000,1742914799999,HYPE,1h,16.535,16.797,16.843,16.442,218529.08,7240
1742914800000,1742918399999,HYPE,1h,16.797,16.418,16.862,16.385,452027.17,10128
1742918400000,1742921999999,HYPE,1h,16.415,16.186,16.485,16.122,444345.43,10765
1742922000000,1742925599999,HYPE,1h,16.192,16.087,16.414,16.082,274871.27,6954
1742925600000,1742929199999,HYPE,1h,16.087,16.068,16.245,15.961,324190.03,6706
1742929200000,1742932799999,HYPE,1h,16.071,16.252,16.282,16.011,212819.63,5296
1742932800000,1742936399999,HYPE,1h,16.259,16.147,16.454,16.138,262213.36,6282
1742936400000,1742939999999,HYPE,1h,16.145,16.004,16.367,16.0,314903.2,6074
1742940000000,1742943599999,HYPE,1h,16.004,15.969,16.096,15.92,244839.51,4826
1742943600000,1742947199999,HYPE,1h,15.969,16.028,16.065,15.884,210206.84,4394
1742947200000,1742950799999,HYPE,1h,16.026,16.187,16.28,15.959,232607.69,5133
1742950800000,1742954399999,HYPE,1h,16.187,16.212,16.403,15.991,560972.37,10407
1742954400000,1742957999999,HYPE,1h,16.211,15.959,16.217,15.92,233810.65,5124
1742958000000,1742961599999,HYPE,1h,15.959,15.683,15.997,15.6,564942.14,10505
1742961600000,1742965199999,HYPE,1h,15.683,15.705,15.831,15.621,280474.4,6104
1742965200000,1742968799999,HYPE,1h,15.705,15.694,15.757,15.468,521850.07,8795
1742968800000,1742972399999,HYPE,1h,15.694,15.943,15.96,15.678,423597.84,9186
1742972400000,1742975999999,HYPE,1h,15.938,16.071,16.113,15.855,237678.04,4844
1742976000000,1742979599999,HYPE,1h,16.069,16.054,16.201,15.979,219248.3,4821
1742979600000,1742983199999,HYPE,1h,16.054,16.09,16.118,15.96,92039.36,3418
1742983200000,1742986799999,HYPE,1h,16.091,16.252,16.307,16.079,160060.18,4201
1742986800000,1742990399999,HYPE,1h,16.252,16.22,16.306,16.184,91610.24,3477
1742990400000,1742993999999,HYPE,1h,16.217,16.065,16.26,15.928,335741.05,6662
1742994000000,1742997599999,HYPE,1h,16.066,13.767,16.109,13.2,5073236.2,60050
1742997600000,1743001199999,HYPE,1h,13.767,12.851,14.812,12.85,9691320.35,99980
1743001200000,1743004799999,HYPE,1h,12.851,14.472,14.963,12.492,12752125.7,115032
1743004800000,1743008399999,HYPE,1h,14.478,14.471,15.061,14.105,3164405.77,43594
1743008400000,1743011999999,HYPE,1h,14.471,14.162,14.642,14.0,1165380.35,19968
1743012000000,1743015599999,HYPE,1h,14.163,13.66,14.259,13.66,1485650.7,21796
1743015600000,1743019199999,HYPE,1h,13.673,13.938,14.017,13.474,1190439.99,19379
1743019200000,1743022799999,HYPE,1h,13.944,14.3,14.5,13.931,1151909.18,20468
1743022800000,1743026399999,HYPE,1h,14.287,13.996,14.392,13.8,920829.89,16349
1743026400000,1743029999999,HYPE,1h,13.997,13.676,14.025,13.619,533002.49,9786
1743030000000,1743033599999,HYPE,1h,13.678,14.065,14.17,13.631,644953.85,12276
1743033600000,1743037199999,HYPE,1h,14.066,14.352,14.361,13.981,317543.38,9565
1743037200000,1743040799999,HYPE,1h,14.353,14.57,14.731,14.341,733191.09,16078
1743040800000,1743044399999,HYPE,1h,14.571,14.919,14.99,14.533,509903.82,15061
1743044400000,1743047999999,HYPE,1h,14.927,14.758,14.987,14.657,431648.24,11802
1743048000000,1743051599999,HYPE,1h,14.761,14.48,14.857,14.471,326745.17,8602
1743051600000,1743055199999,HYPE,1h,14.481,14.424,14.578,14.399,276556.69,7646
1743055200000,1743058799999,HYPE,1h,14.434,14.568,14.674,14.421,194335.86,6264
1743058800000,1743062399999,HYPE,1h,14.569,14.473,14.726,14.344,272687.36,7860
1743062400000,1743065999999,HYPE,1h,14.473,14.505,14.553,14.333,248482.11,7497
1743066000000,1743069599999,HYPE,1h,14.506,14.477,14.611,14.407,213035.07,5491
1743069600000,1743073199999,HYPE,1h,14.476,14.52,14.781,14.466,231969.77,7342
1743073200000,1743076799999,HYPE,1h,14.521,14.446,14.637,14.263,274328.63,7288
1743076800000,1743080399999,HYPE,1h,14.444,14.494,14.624,14.402,223863.3,6791
1743080400000,1743083999999,HYPE,1h,14.496,14.27,14.536,14.02,762415.74,14777
1743084000000,1743087599999,HYPE,1h,14.273,14.645,14.656,14.141,446020.25,10136
1743087600000,1743091199999,HYPE,1h,14.645,14.392,14.653,14.349,296700.63,8493
1743091200000,1743094799999,HYPE,1h,14.393,14.358,14.585,14.331,264041.38,7240
1743094800000,1743098399999,HYPE,1h,14.362,14.26,14.446,14.26,205070.82,5723
1743098400000,1743101999999,HYPE,1h,14.26,14.488,14.583,14.254,482061.85,8359
1743102000000,1743105599999,HYPE,1h,14.488,14.406,14.589,14.4,177173.51,3944
1743105600000,1743109199999,HYPE,1h,14.409,14.819,14.852,14.38,322762.15,6224
1743109200000,1743112799999,HYPE,1h,14.819,15.123,15.153,14.728,717839.58,13072
1743112800000,1743116399999,HYPE,1h,15.122,14.801,15.156,14.8,397446.71,9272
1743116400000,1743119999999,HYPE,1h,14.801,14.614,14.96,14.606,448571.68,9842
1743120000000,1743123599999,HYPE,1h,14.612,14.832,14.845,14.48,316179.41,8592
1743123600000,1743127199999,HYPE,1h,14.831,14.81,14.868,14.72,268867.24,5908
1743127200000,1743130799999,HYPE,1h,14.81,14.558,14.914,14.539,177608.18,4883
1743130800000,1743134399999,HYPE,1h,14.55,14.419,14.572,14.38,258901.49,6460
1743134400000,1743137999999,HYPE,1h,14.414,14.203,14.485,14.1,508453.93,9139
1743138000000,1743141599999,HYPE,1h,14.204,13.999,14.21,13.88,630709.63,14156
1743141600000,1743145199999,HYPE,1h,14.0,13.68,14.068,13.588,956012.45,15157
1743145200000,1743148799999,HYPE,1h,13.683,13.651,13.85,13.511,605495.81,11197
1743148800000,1743152399999,HYPE,1h,13.638,13.629,13.801,13.497,505223.16,8650
1743152400000,1743155999999,HYPE,1h,13.63,13.647,13.654,13.494,293416.57,6000
1743156000000,1743159599999,HYPE,1h,13.646,13.586,13.805,13.556,245774.15,5150
1743159600000,1743163199999,HYPE,1h,13.586,13.951,13.967,13.553,358529.31,8224
1743163200000,1743166799999,HYPE,1h,13.948,13.722,14.027,13.66,411234.74,9684
1743166800000,1743170399999,HYPE,1h,13.721,13.7,13.92,13.669,346884.65,7821
1743170400000,1743173999999,HYPE,1h,13.7,13.676,13.758,13.516,842300.05,14171
1743174000000,1743177599999,HYPE,1h,13.67,13.725,13.919,13.574,469842.73,8720
1743177600000,1743181199999,HYPE,1h,13.725,13.544,13.806,13.53,616320.18,9120
1743181200000,1743184799999,HYPE,1h,13.544,13.538,13.64,13.422,716517.1,10489
1743184800000,1743188399999,HYPE,1h,13.539,13.541,13.719,13.4,602496.88,10530
1743188400000,1743191999999,HYPE,1h,13.541,13.317,13.558,13.055,970403.52,17598
1743192000000,1743195599999,HYPE,1h,13.298,13.259,13.444,13.215,431145.46,8929
1743195600000,1743199199999,HYPE,1h,13.26,13.043,13.339,13.027,536586.38,10504
1743199200000,1743202799999,HYPE,1h,13.043,13.309,13.31,13.01,414104.05,8646
1743202800000,1743206399999,HYPE,1h,13.309,13.416,13.424,13.202,232543.51,5491
1743206400000,1743209999999,HYPE,1h,13.415,13.479,13.6,13.351,226942.83,5677
1743210000000,1743213599999,HYPE,1h,13.476,13.392,13.532,13.374,194464.54,5721
1743213600000,1743217199999,HYPE,1h,13.391,13.133,13.495,13.12,355643.73,7384
1743217200000,1743220799999,HYPE,1h,13.132,13.139,13.27,13.033,358445.37,7748
1743220800000,1743224399999,HYPE,1h,13.138,13.025,13.205,12.954,510828.23,8243
1743224400000,1743227999999,HYPE,1h,13.025,13.046,13.062,12.881,400688.33,8994
1743228000000,1743231599999,HYPE,1h,13.046,12.889,13.049,12.886,287152.71,4921
1743231600000,1743235199999,HYPE,1h,12.889,12.735,12.917,12.62,548191.91,11006
1743235200000,1743238799999,HYPE,1h,12.735,12.842,12.922,12.7,234762.67,5766
1743238800000,1743242399999,HYPE,1h,12.843,12.663,12.888,12.556,429689.62,8407
1743242400000,1743245999999,HYPE,1h,12.658,12.594,12.784,12.538,430236.6,8599
1743246000000,1743249599999,HYPE,1h,12.586,12.567,12.669,12.358,759815.47,12891
1743249600000,1743253199999,HYPE,1h,12.55,12.758,12.788,12.526,418606.26,7727
1743253200000,1743256799999,HYPE,1h,12.757,12.858,12.973,12.74,428474.34,8273
1743256800000,1743260399999,HYPE,1h,12.864,12.946,12.972,12.788,265340.61,7574
1743260400000,1743263999999,HYPE,1h,12.95,12.983,12.995,12.842,397325.2,9350
1743264000000,1743267599999,HYPE,1h,12.984,12.689,13.093,12.648,408842.82,9047
1743267600000,1743271199999,HYPE,1h,12.693,12.699,12.915,12.474,650186.61,11989
1743271200000,1743274799999,HYPE,1h,12.7,12.796,12.916,12.619,200385.29,5059
1743274800000,1743278399999,HYPE,1h,12.792,12.798,12.953,12.643,224299.83,4794
1743278400000,1743281999999,HYPE,1h,12.8,12.577,12.826,12.544,150292.02,4839
1743282000000,1743285599999,HYPE,1h,12.579,12.639,12.726,12.541,191912.8,4973
1743285600000,1743289199999,HYPE,1h,12.635,12.622,12.668,12.507,124393.21,3295
1743289200000,1743292799999,HYPE,1h,12.621,12.807,12.821,12.595,128461.76,3298
1743292800000,1743296399999,HYPE,1h,12.807,12.856,12.87,12.61,197463.66,4600
1743296400000,1743299999999,HYPE,1h,12.855,12.777,12.96,12.7,197597.29,4644
1743300000000,1743303599999,HYPE,1h,12.776,12.893,12.981,12.769,166671.69,4029
1743303600000,1743307199999,HYPE,1h,12.892,12.83,12.948,12.799,70580.54,2997
1743307200000,1743310799999,HYPE,1h,12.829,12.964,13.014,12.809,206108.55,4414
1743310800000,1743314399999,HYPE,1h,12.962,12.803,12.976,12.799,95251.74,2829
1743314400000,1743317999999,HYPE,1h,12.803,12.703,12.811,12.682,208077.87,5375
1743318000000,1743321599999,HYPE,1h,12.703,12.541,12.757,12.532,278090.22,5700
1743321600000,1743325199999,HYPE,1h,12.54,12.645,12.677,12.538,116935.51,3900
1743325200000,1743328799999,HYPE,1h,12.645,12.545,12.655,12.544,178109.73,3860
1743328800000,1743332399999,HYPE,1h,12.544,12.488,12.618,12.289,767105.39,11238
1743332400000,1743335999999,HYPE,1h,12.488,12.622,12.691,12.457,233329.93,6882
1743336000000,1743339599999,HYPE,1h,12.624,12.71,12.731,12.579,159626.68,5035
1743339600000,1743343199999,HYPE,1h,12.708,12.47,12.724,12.455,238765.41,6796
1743343200000,1743346799999,HYPE,1h,12.47,12.602,12.608,12.354,485734.93,8105
1743346800000,1743350399999,HYPE,1h,12.605,12.533,12.662,12.461,366612.65,8237
1743350400000,1743353999999,HYPE,1h,12.534,12.454,12.71,12.45,396354.1,9058
1743354000000,1743357599999,HYPE,1h,12.453,12.509,12.537,12.301,451724.39,8245
1743357600000,1743361199999,HYPE,1h,12.509,12.729,12.784,12.503,351034.22,7090
1743361200000,1743364799999,HYPE,1h,12.733,12.577,12.784,12.571,159681.18,3659
1743364800000,1743368399999,HYPE,1h,12.576,12.526,12.602,12.487,218080.41,5822
1743368400000,1743371999999,HYPE,1h,12.528,12.446,12.554,12.424,102506.38,3736
1743372000000,1743375599999,HYPE,1h,12.442,12.479,12.566,12.198,620731.97,11247
1743375600000,1743379199999,HYPE,1h,12.485,12.486,12.525,12.361,190221.82,5184
1743379200000,1743382799999,HYPE,1h,12.487,12.301,12.51,12.198,238574.16,6415
1743382800000,1743386399999,HYPE,1h,12.304,12.589,12.604,12.276,368353.88,9388
1743386400000,1743389999999,HYPE,1h,12.586,12.539,12.63,12.468,236596.04,5367
1743390000000,1743393599999,HYPE,1h,12.539,12.365,12.61,12.3,322990.25,5836
1743393600000,1743397199999,HYPE,1h,12.367,12.466,12.473,12.278,135233.09,3774
1743397200000,1743400799999,HYPE,1h,12.467,12.56,12.631,12.456,125672.06,3442
1743400800000,1743404399999,HYPE,1h,12.563,12.609,12.621,12.425,103479.83,3142
1743404400000,1743407999999,HYPE,1h,12.615,12.487,12.65,12.419,138332.6,3520
1743408000000,1743411599999,HYPE,1h,12.487,12.695,12.75,12.486,254366.01,5261
1743411600000,1743415199999,HYPE,1h,12.695,12.56,12.77,12.453,266482.1,6389
1743415200000,1743418799999,HYPE,1h,12.556,12.837,12.942,12.556,375656.37,6439
1743418800000,1743422399999,HYPE,1h,12.838,12.761,12.869,12.678,160240.74,4319
1743422400000,1743425999999,HYPE,1h,12.762,12.721,12.794,12.511,294581.76,6220
1743426000000,1743429599999,HYPE,1h,12.721,12.594,12.826,12.411,662502.63,10401
1743429600000,1743433199999,HYPE,1h,12.593,12.911,13.016,12.593,590976.96,11989
1743433200000,1743436799999,HYPE,1h,12.911,13.099,13.371,12.911,890629.0,14913
1743436800000,1743440399999,HYPE,1h,13.099,13.229,13.331,13.099,429774.05,10001
1743440400000,1743443999999,HYPE,1h,13.229,13.16,13.48,13.16,698082.02,14192
1743444000000,1743447599999,HYPE,1h,13.163,13.364,13.4,13.161,280043.45,7736
1743447600000,1743451199999,HYPE,1h,13.365,13.085,13.389,13.065,261500.13,6655
1743451200000,1743454799999,HYPE,1h,13.086,13.035,13.203,13.001,156624.94,4280
1743454800000,1743458399999,HYPE,1h,13.035,13.049,13.152,13.0,166257.01,3673
1743458400000,1743461999999,HYPE,1h,13.056,13.057,13.059,12.935,118121.47,2941
1743462000000,1743465599999,HYPE,1h,13.057,13.006,13.061,12.953,128868.74,3406
1743465600000,1743469199999,HYPE,1h,13.006,13.007,13.127,12.959,181636.19,5252
1743469200000,1743472799999,HYPE,1h,13.009,13.044,13.057,12.954,98643.85,3212
1743472800000,1743476399999,HYPE,1h,13.044,13.524,13.526,13.042,241472.6,5655
1743476400000,1743479999999,HYPE,1h,13.522,13.581,13.66,13.491,355304.88,8179
1743480000000,1743483599999,HYPE,1h,13.587,13.655,13.792,13.494,366674.95,8315
1743483600000,1743487199999,HYPE,1h,13.651,13.58,13.802,13.565,227091.28,5171
1743487200000,1743490799999,HYPE,1h,13.58,13.472,13.589,13.376,294819.24,7396
1743490800000,1743494399999,HYPE,1h,13.477,13.471,13.53,13.332,186188.67,6031
1743494400000,1743497999999,HYPE,1h,13.471,13.738,13.88,13.458,555916.76,9637
1743498000000,1743501599999,HYPE,1h,13.739,13.806,13.828,13.667,288987.89,5483
1743501600000,1743505199999,HYPE,1h,13.804,13.58,13.899,13.531,361350.76,6921
1743505200000,1743508799999,HYPE,1h,13.586,13.499,13.628,13.402,178068.49,5591
1743508800000,1743512399999,HYPE,1h,13.501,13.523,13.569,13.385,185900.13,4889
1743512400000,1743515999999,HYPE,1h,13.523,13.508,13.539,13.27,251788.72,7497
1743516000000,1743519599999,HYPE,1h,13.505,13.427,13.509,13.094,677604.58,11513
1743519600000,1743523199999,HYPE,1h,13.424,13.8,13.969,13.4,962429.49,14463
1743523200000,1743526799999,HYPE,1h,13.8,13.577,13.87,13.489,507599.92,10264
1743526800000,1743530399999,HYPE,1h,13.573,13.424,13.573,13.371,371465.69,7080
1743530400000,1743533999999,HYPE,1h,13.429,13.272,13.434,13.129,456129.09,7727
1743534000000,1743537599999,HYPE,1h,13.27,13.258,13.298,13.074,231039.92,5202
1743537600000,1743541199999,HYPE,1h,13.258,13.431,13.453,13.107,263096.66,5958
1743541200000,1743544799999,HYPE,1h,13.431,13.245,13.481,13.244,139820.8,3228
1743544800000,1743548399999,HYPE,1h,13.245,13.311,13.382,13.214,93949.46,2631
1743548400000,1743551999999,HYPE,1h,13.311,13.327,13.422,13.193,148141.52,3889
1743552000000,1743555599999,HYPE,1h,13.327,13.084,13.375,13.08,233248.44,11240
1743555600000,1743559199999,HYPE,1h,13.085,13.211,13.25,13.05,184749.01,13252
1743559200000,1743562799999,HYPE,1h,13.212,13.139,13.24,13.008,191212.27,10901
1743562800000,1743566399999,HYPE,1h,13.141,13.171,13.244,13.136,101191.31,2507
1743566400000,1743569999999,HYPE,1h,13.171,13.258,13.291,13.146,108130.32,3291
1743570000000,1743573599999,HYPE,1h,13.264,13.026,13.264,13.025,160583.02,3772
1743573600000,1743577199999,HYPE,1h,13.026,12.968,13.084,12.949,129391.79,3529
1743577200000,1743580799999,HYPE,1h,12.966,13.176,13.215,12.955,183365.41,4441
1743580800000,1743584399999,HYPE,1h,13.179,13.417,13.489,13.138,399936.85,6790
1743584400000,1743587999999,HYPE,1h,13.417,13.488,13.629,13.397,250393.48,5301
1743588000000,1743591599999,HYPE,1h,13.484,13.511,13.629,13.43,210734.0,4455
1743591600000,1743595199999,HYPE,1h,13.511,13.706,13.783,13.47,327856.55,7597
1743595200000,1743598799999,HYPE,1h,13.705,13.516,13.751,13.49,433403.97,8597
1743598800000,1743602399999,HYPE,1h,13.515,13.473,13.738,13.189,784716.01,14215
1743602400000,1743605999999,HYPE,1h,13.473,13.51,13.576,13.403,358123.45,6779
1743606000000,1743609599999,HYPE,1h,13.506,14.242,14.461,13.5,1715119.93,25170
1743609600000,1743613199999,HYPE,1h,14.247,14.101,14.289,13.965,624723.15,9919
1743613200000,1743616799999,HYPE,1h,14.096,13.819,14.131,13.685,307158.78,7163
1743616800000,1743620399999,HYPE,1h,13.816,13.693,13.914,13.678,250145.26,6460
1743620400000,1743623999999,HYPE,1h,13.694,13.747,13.775,13.5,453697.66,9192
1743624000000,1743627599999,HYPE,1h,13.743,13.291,14.246,13.212,1710036.49,26319
1743627600000,1743631199999,HYPE,1h,13.291,12.808,13.319,12.7,1196892.11,20541
1743631200000,1743634799999,HYPE,1h,12.806,12.115,12.813,12.094,1834544.09,23766
1743634800000,1743638399999,HYPE,1h,12.115,11.772,12.199,11.68,1926595.32,28957
1743638400000,1743641999999,HYPE,1h,11.771,12.208,12.298,11.646,931925.52,16863
1743642000000,1743645599999,HYPE,1h,12.208,12.466,12.52,12.148,697588.95,11466
1743645600000,1743649199999,HYPE,1h,12.46,12.522,12.609,12.252,546799.94,9129
1743649200000,1743652799999,HYPE,1h,12.523,12.389,12.542,12.349,263913.27,6081
1743652800000,1743656399999,HYPE,1h,12.39,12.568,12.617,12.371,263783.0,6751
1743656400000,1743659999999,HYPE,1h,12.569,12.377,12.622,12.375,199644.02,5503
1743660000000,1743663599999,HYPE,1h,12.378,12.035,12.397,12.0,608595.95,9594
1743663600000,1743667199999,HYPE,1h,12.035,11.942,12.096,11.758,736148.22,13587
1743667200000,1743670799999,HYPE,1h,11.942,11.951,12.044,11.883,325754.33,7634
1743670800000,1743674399999,HYPE,1h,11.951,11.713,11.972,11.677,461711.6,9515
1743674400000,1743677999999,HYPE,1h,11.712,11.459,11.745,11.325,987000.48,17388
1743678000000,1743681599999,HYPE,1h,11.459,11.286,11.568,11.178,967087.21,15921
1743681600000,1743685199999,HYPE,1h,11.282,11.152,11.5,11.121,1319498.22,17896
1743685200000,1743688799999,HYPE,1h,11.161,11.347,11.562,11.075,1416981.73,21477
1743688800000,1743692399999,HYPE,1h,11.347,11.183,11.37,11.041,938904.9,16237
1743692400000,1743695999999,HYPE,1h,11.188,11.478,11.494,11.085,606019.75,11591
1743696000000,1743699599999,HYPE,1h,11.484,11.462,11.52,11.32,762018.96,11693
1743699600000,1743703199999,HYPE,1h,11.466,11.443,11.551,11.332,402212.58,8463
1743703200000,1743706799999,HYPE,1h,11.448,11.52,11.579,11.263,449153.03,8229
1743706800000,1743710399999,HYPE,1h,11.52,11.503,11.561,11.25,348163.9,9369
1743710400000,1743713999999,HYPE,1h,11.503,11.675,11.675,11.418,296562.88,7273
1743714000000,1743717599999,HYPE,1h,11.672,11.866,11.874,11.662,470598.95,9983
1743717600000,1743721199999,HYPE,1h,11.867,11.699,11.868,11.571,266510.57,6504
1743721200000,1743724799999,HYPE,1h,11.7,11.707,11.876,11.584,316872.31,6281
1743724800000,1743728399999,HYPE,1h,11.708,11.889,11.939,11.708,437649.59,7264
1743728400000,1743731999999,HYPE,1h,11.889,11.738,11.977,11.715,248870.35,6289
1743732000000,1743735599999,HYPE,1h,11.738,11.726,11.869,11.684,194343.31,6715
1743735600000,1743739199999,HYPE,1h,11.726,11.777,11.777,11.602,127693.9,4953
1743739200000,1743742799999,HYPE,1h,11.778,11.521,11.781,11.498,340590.55,6429
1743742800000,1743746399999,HYPE,1h,11.523,11.592,11.727,11.489,237896.41,6158
1743746400000,1743749999999,HYPE,1h,11.592,11.496,11.62,11.464,143068.18,4343
1743750000000,1743753599999,HYPE,1h,11.496,11.836,11.883,11.452,501685.57,9426
1743753600000,1743757199999,HYPE,1h,11.836,11.915,11.988,11.716,420113.87,8567
1743757200000,1743760799999,HYPE,1h,11.914,11.982,12.021,11.761,320682.06,6251
1743760800000,1743764399999,HYPE,1h,11.981,11.324,12.068,11.308,907763.34,16293
1743764400000,1743767999999,HYPE,1h,11.326,11.319,11.407,11.084,744386.06,12173
1743768000000,1743771599999,HYPE,1h,11.321,11.379,11.471,11.057,666395.44,10976
1743771600000,1743775199999,HYPE,1h,11.38,11.787,11.811,11.362,1491192.42,22686
1743775200000,1743778799999,HYPE,1h,11.785,11.597,11.812,11.357,710128.42,11831
1743778800000,1743782399999,HYPE,1h,11.596,11.453,11.732,11.235,972817.83,16402
1743782400000,1743785999999,HYPE,1h,11.454,11.619,11.679,11.4,500279.21,9158
1743786000000,1743789599999,HYPE,1h,11.619,12.19,12.192,11.619,1005606.99,16924
1743789600000,1743793199999,HYPE,1h,12.189,11.976,12.2,11.749,543308.56,12324
1743793200000,1743796799999,HYPE,1h,11.976,12.158,12.158,11.3,862879.59,13292
1743796800000,1743800399999,HYPE,1h,12.134,12.212,12.34,11.892,425566.63,10073
1743800400000,1743803999999,HYPE,1h,12.214,12.196,12.389,12.099,431669.15,9814
1743804000000,1743807599999,HYPE,1h,12.197,12.141,12.4,12.111,382139.64,8840
1743807600000,1743811199999,HYPE,1h,12.145,11.886,12.167,11.839,472663.67,10110
1743811200000,1743814799999,HYPE,1h,11.889,12.029,12.091,11.84,167888.56,5208
1743814800000,1743818399999,HYPE,1h,12.03,12.112,12.197,11.957,181032.65,6572
1743818400000,1743821999999,HYPE,1h,12.112,11.927,12.198,11.843,191231.8,6519
1743822000000,1743825599999,HYPE,1h,11.928,11.838,11.947,11.805,117866.68,4408
1743825600000,1743829199999,HYPE,1h,11.832,11.938,11.969,11.824,90131.29,2547
1743829200000,1743832799999,HYPE,1h,11.937,11.779,12.09,11.742,266896.72,6490
1743832800000,1743836399999,HYPE,1h,11.779,11.8,11.806,11.72,115725.69,4140
1743836400000,1743839999999,HYPE,1h,11.802,11.821,11.884,11.731,91813.41,2905
1743840000000,1743843599999,HYPE,1h,11.823,11.797,11.844,11.746,50454.31,2077
1743843600000,1743847199999,HYPE,1h,11.8,12.028,12.094,11.796,156607.22,3428
1743847200000,1743850799999,HYPE,1h,12.043,12.032,12.097,11.976,137330.99,3138
1743850800000,1743854399999,HYPE,1h,12.032,11.934,12.104,11.924,106412.04,2857
1743854400000,1743857999999,HYPE,1h,11.934,11.734,11.989,11.628,444184.31,6446
1743858000000,1743861599999,HYPE,1h,11.74,11.499,11.769,11.42,432581.74,7271
1743861600000,1743865199999,HYPE,1h,11.497,11.577,11.6,11.455,248907.43,4485
1743865200000,1743868799999,HYPE,1h,11.579,11.538,11.595,11.43,155625.0,3726
1743868800000,1743872399999,HYPE,1h,11.537,11.58,11.6,11.493,163231.3,2724
1743872400000,1743875999999,HYPE,1h,11.579,11.611,11.645,11.558,128049.55,2388
1743876000000,1743879599999,HYPE,1h,11.615,11.804,11.827,11.594,192443.33,3660
1743879600000,1743883199999,HYPE,1h,11.805,11.749,11.832,11.699,277799.03,4561
1743883200000,1743886799999,HYPE,1h,11.749,11.811,11.857,11.699,164380.06,3805
1743886800000,1743890399999,HYPE,1h,11.812,11.762,11.857,11.762,93331.79,2934
1743890400000,1743893999999,HYPE,1h,11.763,11.898,11.898,11.763,75256.54,2585
1743894000000,1743897599999,HYPE,1h,11.897,12.046,12.054,11.875,170886.89,4438
1743897600000,1743901199999,HYPE,1h,12.047,12.079,12.079,11.916,239175.6,5416
1743901200000,1743904799999,HYPE,1h,12.079,11.94,12.092,11.935,106724.52,3432
1743904800000,1743908399999,HYPE,1h,11.94,11.786,11.965,11.752,140193.9,3922
1743908400000,1743911999999,HYPE,1h,11.777,11.691,11.81,11.691,163659.19,4034
1743912000000,1743915599999,HYPE,1h,11.698,11.688,11.703,11.553,219088.7,5116
1743915600000,1743919199999,HYPE,1h,11.696,11.768,11.794,11.664,164321.82,4272
1743919200000,1743922799999,HYPE,1h,11.768,11.672,11.812,11.667,145613.68,4562
1743922800000,1743926399999,HYPE,1h,11.674,11.584,11.72,11.573,110663.45,3888
1743926400000,1743929999999,HYPE,1h,11.584,11.546,11.607,11.491,163735.68,4493
1743930000000,1743933599999,HYPE,1h,11.547,11.508,11.552,11.5,100111.02,3610
1743933600000,1743937199999,HYPE,1h,11.509,11.384,11.521,11.35,249617.1,6780
1743937200000,1743940799999,HYPE,1h,11.385,11.428,11.447,11.32,179068.59,4560
1743940800000,1743944399999,HYPE,1h,11.428,11.316,11.477,11.313,151050.74,3528
1743944400000,1743947999999,HYPE,1h,11.32,11.12,11.342,11.11,535015.04,9215
1743948000000,1743951599999,HYPE,1h,11.12,11.302,11.325,11.07,632220.62,8411
1743951600000,1743955199999,HYPE,1h,11.303,11.431,11.559,11.255,487003.14,7789
1743955200000,1743958799999,HYPE,1h,11.432,11.108,11.435,11.082,288200.89,6406
1743958800000,1743962399999,HYPE,1h,11.106,10.614,11.106,10.6,1922205.88,23034
1743962400000,1743965999999,HYPE,1h,10.614,10.408,10.759,10.21,2130348.59,25256
1743966000000,1743969599999,HYPE,1h,10.407,10.634,10.635,10.355,977442.92,16478
1743969600000,1743973199999,HYPE,1h,10.634,10.49,10.713,10.424,659881.9,12261
1743973200000,1743976799999,HYPE,1h,10.49,10.481,10.55,10.374,320448.8,8497
1743976800000,1743980399999,HYPE,1h,10.48,10.261,10.623,10.202,879979.2,16851
1743980400000,1743983999999,HYPE,1h,10.261,10.261,10.362,10.001,1470054.18,18368
1743984000000,1743987599999,HYPE,1h,10.26,10.202,10.273,9.716,2219089.57,23689
1743987600000,1743991199999,HYPE,1h,10.206,10.781,10.886,10.138,1350929.4,20777
1743991200000,1743994799999,HYPE,1h,10.781,10.516,10.875,10.467,686568.56,11090
1743994800000,1743998399999,HYPE,1h,10.516,10.363,10.61,10.257,530411.02,8301
1743998400000,1744001999999,HYPE,1h,10.358,10.123,10.421,10.03,571165.89,10034
1744002000000,1744005599999,HYPE,1h,10.125,9.9626,10.3,9.93,500910.55,8240
1744005600000,1744009199999,HYPE,1h,9.9621,9.461,10.145,9.3061,1682712.23,17336
1744009200000,1744012799999,HYPE,1h,9.4607,9.933,10.227,9.417,1531788.28,16709
1744012800000,1744016399999,HYPE,1h,9.9371,10.117,10.242,9.9,832361.61,11980
1744016400000,1744019999999,HYPE,1h,10.121,10.121,10.317,10.002,473247.61,7965
1744020000000,1744023599999,HYPE,1h,10.123,10.244,10.343,10.09,457914.33,8118
1744023600000,1744027199999,HYPE,1h,10.245,10.293,10.421,10.154,344655.28,6621
1744027200000,1744030799999,HYPE,1h,10.292,10.398,10.6,10.18,597950.45,8869
1744030800000,1744034399999,HYPE,1h,10.397,11.049,11.05,10.141,1362818.79,15781
1744034400000,1744037999999,HYPE,1h,11.048,10.927,11.562,10.391,3732022.0,37544
1744038000000,1744041599999,HYPE,1h,10.916,11.08,11.211,10.664,1190373.2,15984
1744041600000,1744045199999,HYPE,1h,11.079,10.604,11.218,10.594,728149.54,10818
